index,institutionCode,catalogueNumber,filename,similarity
267967,LSUMNS,164077,TE.M.LSU164077.00000002.Master.Transmission,1
268031,LSUMNS,164077,TE.M.LSU164077.00000003.Master.Transmission,1
268095,LSUMNS,164077,TE.M.LSU164077.00000004.Master.Transmission,1
268159,LSUMNS,164077,TE.M.LSU164077.00000005.Master.Transmission,1
268216,LSUMNS,29245,TE.M.LSU29245.00000001.Master.Transmission,1
268280,LSUMNS,29245,TE.M.LSU29245.00000002.Master.Transmission,1
268408,LSUMNS,29245,TE.M.LSU29245.00000004.Master.Transmission,1
268854,LSUMNS,30555,TE.M.LSU30555.00000001.Master.Transmission,1
268472,LSUMNS,29245,TE.M.LSU29245.00000005.Master.Transmission,1
268537,LSUMNS,29246,TE.M.LSU29246.00000001.Master.Transmission,1
268601,LSUMNS,29246,TE.M.LSU29246.00000002.Master.Transmission,1
268665,LSUMNS,29246,TE.M.LSU29246.00000003.Master.Transmission,1
268729,LSUMNS,29246,TE.M.LSU29246.00000004.Master.Transmission,1
268793,LSUMNS,29246,TE.M.LSU29246.00000005.Master.Transmission,1
223022,LSUMNS,114719,SU.S.LSU114719.00000005.Master.Transmission,1
307510,LSUMNS,30555,TE.U.LSU30555.00000005.Master.Transmission,1
192622,LSUMNS,114719,SU.H.LSU114719.00000005.Master.Transmission,1
194091,LSUMNS,87590,SU.H.LSU87590.00000003.Master.Transmission,1
193963,LSUMNS,87590,SU.H.LSU87590.00000001.Master.Transmission,1
193908,LSUMNS,71304,SU.H.LSU71304.00000005.Master.Transmission,1
193844,LSUMNS,71304,SU.H.LSU71304.00000004.Master.Transmission,1
193780,LSUMNS,71304,SU.H.LSU71304.00000003.Master.Transmission,1
193716,LSUMNS,71304,SU.H.LSU71304.00000002.Master.Transmission,1
193652,LSUMNS,71304,SU.H.LSU71304.00000001.Master.Transmission,1
193584,LSUMNS,161602,SU.H.LSU161602.00000005.Master.Transmission,1
193520,LSUMNS,161602,SU.H.LSU161602.00000004.Master.Transmission,1
193456,LSUMNS,161602,SU.H.LSU161602.00000003.Master.Transmission,1
193392,LSUMNS,161602,SU.H.LSU161602.00000002.Master.Transmission,1
193328,LSUMNS,161602,SU.H.LSU161602.00000001.Master.Transmission,1
193265,LSUMNS,119388,SU.H.LSU119388.00000005.Master.Transmission,1
193201,LSUMNS,119388,SU.H.LSU119388.00000004.Master.Transmission,1
193137,LSUMNS,119388,SU.H.LSU119388.00000003.Master.Transmission,1
193073,LSUMNS,119388,SU.H.LSU119388.00000002.Master.Transmission,1
193009,LSUMNS,119388,SU.H.LSU119388.00000001.Master.Transmission,1
192943,LSUMNS,114720,SU.H.LSU114720.00000005.Master.Transmission,1
192879,LSUMNS,114720,SU.H.LSU114720.00000004.Master.Transmission,1
192815,LSUMNS,114720,SU.H.LSU114720.00000003.Master.Transmission,1
192751,LSUMNS,114720,SU.H.LSU114720.00000002.Master.Transmission,1
192687,LSUMNS,114720,SU.H.LSU114720.00000001.Master.Transmission,1
194027,LSUMNS,87590,SU.H.LSU87590.00000002.Master.Transmission,1
194155,LSUMNS,87590,SU.H.LSU87590.00000004.Master.Transmission,1
192558,LSUMNS,114719,SU.H.LSU114719.00000004.Master.Transmission,1
199084,LSUMNS,109406,SU.M.B.LSU109406.00000001.Master.Transmission,1
200433,LSUMNS,119388,SU.M.B.LSU119388.00000002.Master.Transmission,1
200369,LSUMNS,119388,SU.M.B.LSU119388.00000001.Master.Transmission,1
200303,LSUMNS,114720,SU.M.B.LSU114720.00000005.Master.Transmission,1
200239,LSUMNS,114720,SU.M.B.LSU114720.00000004.Master.Transmission,1
200175,LSUMNS,114720,SU.M.B.LSU114720.00000003.Master.Transmission,1
200111,LSUMNS,114720,SU.M.B.LSU114720.00000002.Master.Transmission,1
200047,LSUMNS,114720,SU.M.B.LSU114720.00000001.Master.Transmission,1
199982,LSUMNS,114719,SU.M.B.LSU114719.00000005.Master.Transmission,1
199918,LSUMNS,114719,SU.M.B.LSU114719.00000004.Master.Transmission,1
199854,LSUMNS,114719,SU.M.B.LSU114719.00000003.Master.Transmission,1
199790,LSUMNS,114719,SU.M.B.LSU114719.00000002.Master.Transmission,1
199726,LSUMNS,114719,SU.M.B.LSU114719.00000001.Master.Transmission,1
199661,LSUMNS,114718,SU.M.B.LSU114718.00000005.Master.Transmission,1
199597,LSUMNS,114718,SU.M.B.LSU114718.00000004.Master.Transmission,1
199533,LSUMNS,114718,SU.M.B.LSU114718.00000003.Master.Transmission,1
199469,LSUMNS,114718,SU.M.B.LSU114718.00000002.Master.Transmission,1
199405,LSUMNS,114718,SU.M.B.LSU114718.00000001.Master.Transmission,1
199340,LSUMNS,109406,SU.M.B.LSU109406.00000005.Master.Transmission,1
199276,LSUMNS,109406,SU.M.B.LSU109406.00000004.Master.Transmission,1
199212,LSUMNS,109406,SU.M.B.LSU109406.00000003.Master.Transmission,1
199148,LSUMNS,109406,SU.M.B.LSU109406.00000002.Master.Transmission,1
222830,LSUMNS,114719,SU.S.LSU114719.00000002.Master.Transmission,1
192494,LSUMNS,114719,SU.H.LSU114719.00000003.Master.Transmission,1
200561,LSUMNS,119388,SU.M.B.LSU119388.00000004.Master.Transmission,1
135196,LSUMNS,38595,CU.S.LSU38595.00000003.Master.Transmission,1
135068,LSUMNS,38595,CU.S.LSU38595.00000001.Master.Transmission,1
128604,LSUMNS,38595,CU.R.LSU38595.00000005.Master.Transmission,1
128540,LSUMNS,38595,CU.R.LSU38595.00000004.Master.Transmission,1
128476,LSUMNS,38595,CU.R.LSU38595.00000003.Master.Transmission,1
128412,LSUMNS,38595,CU.R.LSU38595.00000002.Master.Transmission,1
128348,LSUMNS,38595,CU.R.LSU38595.00000001.Master.Transmission,1
