FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
,MZUSP,,14981,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Cananéia - Tabatinguará,-25.02000,-47.95000,WGS84,,1934-9-21,,,0,0,0,0,,
,MZUSP,,93499,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"E.E. Bananal, Bananal",-22.80000,-44.37000,WGS84,,2011-12-13-16,,,0,0,0,0,,
,MZUSP,,78299,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"E.E. de Bananal, Bananal",-22.80111,-44.36944,WGS84,,2003-12-06,,,0,0,0,0,,
,MZUSP,,92097,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Estação Biológica de Boracéia,-23.63000,-45.87000,WGS84,,2011-11-25,,,0,0,0,0,,
,MZUSP,,54851,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Estação Engenheiro Ferraz,-23.84889,-46.37111,WGS84,,1954-6-01,,,0,0,0,0,,
,MZUSP,,56567,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Subadult,Brazil,Estação Engenheiro Ferraz,-23.84889,-46.37111,WGS84,,1964-9-04,,,0,0,0,0,,
,MZUSP,,29293,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Subadult,Brazil,"Faz. Palmeira, Rio Paranapanema",-22.95000,-50.75000,WGS84,,1943-9-20,,,0,0,0,0,,
,MZUSP,,4965,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Itapura,-20.67000,-51.52000,WGS84,,1904-8,,,0,0,0,0,,
,MZUSP,,26509,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Municipio de Lins, Fazenda Varjão",-24.63000,-47.40000,WGS84,,1941-2-06,,,0,0,0,0,,
,MZUSP,,47736,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Onça Parda,-24.31667,-47.85000,WGS84,,1962-10-27,,,0,0,0,0,,
,MZUSP,,47737,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Subadult,Brazil,Onça Parda,-24.31667,-47.85000,WGS84,,1962-11-02,,,0,0,0,0,,
,MZUSP,,12754,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Porto Tibiriçá,-21.82000,-52.17000,WGS84,,1931-8-24,,,0,0,0,0,,
,FMNH,,264948,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,R. Ipiranga Laranja Azeda,-24.33333,-47.86667,WGS84,,1960-8-20,,,0,0,0,0,,
,FMNH,,264949,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"R. Ipiranga, Boa Vista",-24.36667,-47.83333,WGS84,,1960-7-31,,,0,0,0,0,,
,FMNH,,264951,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"R. Ipiranga, Boa Vista",-24.36667,-47.83333,WGS84,,1960-8-1,,,0,0,0,0,,
,MZUSP,,47734,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"R. Ipiranga, Tamanduá",-24.26667,-47.83333,WGS84,,1962-10-03,,,0,0,0,0,,
,MZUSP,,24419,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Rio Juquiá; Faz. Poço Grande,-24.25000,-47.62000,WGS84,,1940-5-20,,,0,0,0,0,,
,MZUSP,,49566,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Rocha,-24.21667,-47.73333,WGS84,,1961-12-29,,,0,0,0,0,,
,MZUSP,,10554,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Santos Itutinga,-23.92000,-46.48000,WGS84,,1921-5-15,,,0,0,0,0,,
,MZUSP,,11643,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"São Miguel, Taquaral",-23.88333,-47.98333,WGS84,,1929-9-02,,,0,0,0,0,,
,FMNH,,66682,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,São Sebastião,-23.80000,-45.41667,WGS84,,1901-10-5,,,0,0,0,0,,
,MNRJ,,27688,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Serra da Bocaina, Mun. São José dos Barreiros",-22.75000,-44.75000,WGS84,,1951-4-27,,,0,0,0,0,,
,MNRJ,,21279,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Sertão das Cobras, I. Bananal, Serra do Mar",-22.68333,-44.31667,WGS84,,1941-2-27,,,0,0,0,0,,
,MNRJ,,25796,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Sertão das Cobras, I. Bananal, Serra do Mar",-22.68333,-44.31667,WGS84,,1941-2-27,,,0,0,0,0,,
,MZUSP,,12499,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Valparaíso,-21.22000,-50.85000,WGS84,,1931-6-26,,,0,0,0,0,,
,AMNH,,320023,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Paraguay,"East of Villa Rica, Colonia Independencia",-25.71667,-56.25000,WGS84,,1930-10-3,,,0,0,0,0,,
,AMNH,,320024,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Paraguay,"East of Villa Rica, Colonia Independencia",-25.71667,-56.25000,WGS84,,1930-10-7,,,0,0,0,0,,
,AMNH,,133178,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Alto Bontito,7.08333,-76.50000,WGS84,,1915-2-18,,,0,0,0,0,,
,USNM,,401635,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Hcda. Belen; 8 miles W of Segovia,7.16667,-74.71667,WGS84,,1948-3-27,,,0,0,0,0,,
,USNM,,401636,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Taraza; Rio Tarazá - 12 km N.W. Pto Antioquia,7.58333,-75.35000,WGS84,,1948-4-29,,,0,0,0,0,,
,USNM,,401634,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Regeneracion; Q. San Marcos - lower Rio Cauca,8.10000,-74.63333,WGS84,,1948-2-10,,,0,0,0,0,,
,USNM,,392352,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Volador; 25 miles W. of Simiti,7.96667,-74.25000,WGS84,,1947-5-9,,,0,0,0,0,,
,FMNH,,255537,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Rio Saija,2.86667,-77.68333,WGS84,,1958-6-29,,,0,0,0,0,,
,FMNH,,255536,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,"Rio Saija, El Papayo",2.86667,-77.68333,WGS84,,1958-7-5,,,0,0,0,0,,
,FMNH,,262664,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,San Alberto - Magdalena,7.75000,-73.38333,WGS84,,1961-5-21,,,0,0,0,0,,
,AMNH,,123270,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,Baudo,6.00000,-77.08333,WGS84,,1912-7-15,,,0,0,0,0,,
,USNM,,443013,Aves,Trogoniformes,Trogonidae,Trogon,rufus,cupreicauda,Male,Adult,Colombia,"Rio Jurubida, Baudó Mts",5.96667,-77.28333,WGS84,,1951-3-26,,,0,0,0,0,,
