FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
TE.H.FMNH21881.00000003,FMNH,,21881,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"San Emilis [=Emilio], Lake Nicaragua",11.52000,-85.87000,WGS84,,1905-4-12,,Head,0,0,0,0,00000003,
TE.H.FMNH21881.00000004,FMNH,,21881,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"San Emilis [=Emilio], Lake Nicaragua",11.52000,-85.87000,WGS84,,1905-4-12,,Head,0,0,0,0,00000004,
TE.H.FMNH21881.00000005,FMNH,,21881,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"San Emilis [=Emilio], Lake Nicaragua",11.52000,-85.87000,WGS84,,1905-4-12,,Head,0,0,0,0,00000005,
TE.H.FMNH282539.00000001,FMNH,,282539,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000001,
TE.H.FMNH282539.00000002,FMNH,,282539,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000002,
TE.H.FMNH282539.00000003,FMNH,,282539,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000003,
TE.H.FMNH282539.00000004,FMNH,,282539,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000004,
TE.H.FMNH282539.00000005,FMNH,,282539,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000005,
TE.H.FMNH44707.00000001,FMNH,,44707,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,"""Limon""",10.00000,-83.03333,WGS84,,1910-5-4,,Head,0,0,0,0,00000001,
TE.H.FMNH44707.00000002,FMNH,,44707,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,"""Limon""",10.00000,-83.03333,WGS84,,1910-5-4,,Head,0,0,0,0,00000002,
TE.H.FMNH44707.00000003,FMNH,,44707,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,"""Limon""",10.00000,-83.03333,WGS84,,1910-5-4,,Head,0,0,0,0,00000003,
TE.H.FMNH44707.00000004,FMNH,,44707,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,"""Limon""",10.00000,-83.03333,WGS84,,1910-5-4,,Head,0,0,0,0,00000004,
TE.H.FMNH44707.00000005,FMNH,,44707,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,"""Limon""",10.00000,-83.03333,WGS84,,1910-5-4,,Head,0,0,0,0,00000005,
TE.H.USNM145488.00000001,USNM,,145488,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000001,
TE.H.USNM145488.00000002,USNM,,145488,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000002,
TE.H.USNM145488.00000003,USNM,,145488,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000003,
TE.H.USNM145488.00000004,USNM,,145488,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000004,
TE.H.USNM145488.00000005,USNM,,145488,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Panama,"""Veragua''",8.50000,-81.00000,WGS84,,,,Head,0,0,0,0,00000005,
TE.H.USNM151396.00000001,USNM,,151396,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Guayabal,9.98000,-84.03000,WGS84,,1891-2-22,,Head,0,0,0,0,00000001,
TE.H.USNM151396.00000002,USNM,,151396,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Guayabal,9.98000,-84.03000,WGS84,,1891-2-22,,Head,0,0,0,0,00000002,
TE.H.USNM151396.00000003,USNM,,151396,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Guayabal,9.98000,-84.03000,WGS84,,1891-2-22,,Head,0,0,0,0,00000003,
TE.H.USNM151396.00000004,USNM,,151396,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Guayabal,9.98000,-84.03000,WGS84,,1891-2-22,,Head,0,0,0,0,00000004,
